timestamp,value,created_at
1665149828000,57,1665149837882
1665149708000,53,1665149717611
1665149588000,54,1665149597604
1665149468000,55,1665149477608
1665149348000,73,1665149357332
1665149228000,46,1665149238207
1665149108000,55,1665149117600
1665148988000,57,1665148997300
1665148868000,67,1665148877463
1665148748000,61,1665148757250
1665148628000,69,1665148637785
1665148508000,62,1665148517295
1665148388000,53,1665148397246
1665148268000,41,1665148277236
1665148148000,56,1665148157204
1665148028000,56,1665148049770
1665147908000,45,1665147917008
1665147788000,56,1665147796931
1665147668000,70,1665147677370
1665147548000,60,1665147557582
1665147428000,75,1665147437745
1665147308000,64,1665147317443
1665147188000,64,1665147197285
1665147068000,57,1665147077356
1665146948000,66,1665146957639
1665146828000,52,1665146837551
1665146708000,75,1665146716699
1665146588000,57,1665146597181
1665146468000,63,1665146476790
1665146348000,74,1665146357902
1665146228000,62,1665146237469
1665146108000,58,1665146117195
1665145988000,49,1665145997172
1665145868000,67,1665145877140
1665145748000,55,1665145757187
1665145628000,75,1665145637433
1665145508000,62,1665145517159
1665145388000,73,1665145397536
1665145268000,69,1665145277182
1665145148000,60,1665145157157
1665145028000,67,1665145038032
1665144908000,66,1665144917259
1665144788000,67,1665144796800
1665144668000,72,1665144677383
1665144548000,60,1665144556810
1665144428000,71,1665144436995
1665144308000,73,1665144317049
1665144188000,60,1665144197342
1665144068000,68,1665144077356
1665143948000,60,1665143957336
1665143828000,58,1665143837646
1665143708000,75,1665143717332
1665143588000,60,1665143597097
1665143468000,63,1665143477392
1665143348000,69,1665143357336
1665143228000,74,1665143237314
1665143108000,64,1665143116673
1665142988000,50,1665142997089
1665142868000,52,1665142877038
1665142748000,66,1665142757284
1665142628000,55,1665142637796
1665142508000,57,1665142519061
1665142388000,59,1665142397084
1665142268000,47,1665142276913
1665142148000,54,1665142157054
1665142028000,64,1665142037789
1665141908000,71,1665141916788
1665141788000,61,1665141797328
1665141668000,59,1665141676982
1665141548000,61,1665141557555
1665141428000,72,1665141437849
1665141308000,69,1665141317090
1665141188000,76,1665141197036
1665141068000,65,1665141077045
1665140948000,75,1665140957069
1665140828000,59,1665140837602
1665140708000,63,1665140716612
1665140588000,58,1665140597120
1665140468000,53,1665140476827
1665140348000,61,1665140357007
1665140228000,76,1665140237838
1665140108000,47,1665140116689
1665139988000,55,1665139996947
1665139868000,56,1665139876512
1665139748000,54,1665139757267
1665139628000,48,1665139637499
1665139508000,58,1665139517234
1665139388000,59,1665139397005
1665139268000,75,1665139277190
1665139148000,50,1665139156990
1665139028000,55,1665139037716
1665138908000,57,1665138917460
1665138788000,65,1665138797125
1665138668000,76,1665138677200
1665138548000,62,1665138556605
1665138428000,61,1665138437034
1665138308000,69,1665138316541
1665138188000,54,1665138196581
1665138068000,67,1665138076602
1665137948000,55,1665137957045
1665137828000,63,1665137837898
